brand_code,title,term,shape,dose,يارانه ارزي, مبلغ سهم سازمان با احتساب يارانه ارزي,percent_share_of_organization_exchange_subsidy,سهم صعب العلاج,سهم ناباروري,قيمت,price_exchange_subsidy,سهم سازمان,فهرست,قيمت در استانها,ROW_COLOR,Rx Code,FDA Code,
82,AMPICILLIN  (AS SODIUM),   تجويز توسط پزشك متخصص تاييد توسط داروخانه,INJ,500 mg,70700,136570,82.87, , ,94100,164800,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,روستايي",,,67066,,
6938,AMPICILLIN + SULBACTAM, بيمارستاني و توليد داخل   تجويز توسط پزشك متخصص به عنوان آنتي بيوتيك,INJ,2 g /1 g ( 3g),175200,254300,88.237, , ,113000,288200,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67063,6938,
6939,AMPICILLIN + SULBACTAM, بيمارستاني و توليد داخل   تجويز توسط پزشك متخصص به عنوان آنتي بيوتيك,INJ,1 g /0.5 g ( 1.5 g),98200,171700,84.498, , ,105000,203200,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,67062,6939,
87,AMRINONE  (AS  LACTATE), بيمارستاني,INJ,100 mg/20 ml,,117600,70%, , ,168000,168000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1388,AMYL  NITRITE, بيمارستاني,AMP  FOR  INHALATION,,16800,205100,71.763, , ,269000,285800,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,62701,1388,
7659,ANAGRALIDE, پرونده اي   تجويز توسط پزشك متخصص,CAP,0.5 MG,452000,519200,94.744,20%, ,96000,548000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,64895,7659,
1389,ANETHUM,,TAB (BILISTER),,,490,70%, , ,700,700,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
10115,ANETHUM,,TAB (JAR),,,196,70%, , ,280,280,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
10877,ANGIPARS,   تجويز توسط پزشك متخصص,CREAM&CAP,30G,,484400,70%, , ,692000,692000,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
1098,ANTI - D  IMMUNEGLOBULIN,,INJ,250 mcg,,840000,70%, , ,1200000,1200000,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,مامايي
,نياز به کد اصالت دارو",,,67069,1098,
1099,ANTI - D  IMMUNEGLOBULIN, پرونده اي بيمه سلامت,INJ POWDER,300 mcg,11496000,13484280,94.056, , ,2840400,14336400,70%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,مامايي
,نياز به کد اصالت دارو",,,67070,1099,
89,ANTI HEMOPHILIC FACTOR  (Factor VIII), پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك متخصص بيماريهاي كودكان و بيماريهاي داخلي (((هشدار))):شرط تجويز براي پزشكان متخصص كودكان و بيماريهاي داخلي ،شاغل در بخشهاي هموفيلي  ميباشد<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشكان عمومي (((هشدار))):شرط تجويز براي پزشكان عمومي ،شاغل در بخشهاي هموفيلي  ميباشد با سهم سازمان 100 درصد ,INJ,250 U,11469000,14839000,100, , ,3370000,14839000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67229,13238,
96,ANTI HEMORRHOID,,RECTAL  OINT,15 g,84200,174360,81.859, , ,128800,213000,70%,"مددجويان کميته امداد
,بهزيستي",,,60927,,
97,ANTI HEMORRHOID,,SUPP,,10300,26050,79.42, , ,22500,32800,70%,"مددجويان کميته امداد
,بهزيستي",,,60930,,
98,ANTI HISTAMINE   DECONGESTANT, بيش از 0 سال  کمتر از 12 سال ,TAB,,,700,70%, , ,1000,1000,70%,"مددجويان کميته امداد
,بهزيستي
,روستايي
,مامايي",,,60933,,
2022,ANTI HISTAMINE   DECONGESTANT SR, توليد داخل بيش از 0 سال  کمتر از 12 سال ,COATED  TAB,,,665,70%, , ,950,950,70%,"مددجويان کميته امداد
,بهزيستي",,,60933,,
99,ANTI LYMPHOCYTE   IMMUNOGLOBULIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص <br>يا  داروهاي تخصصي بيماران خاص در صندوق پيوند کليه   تجويز توسط پزشك متخصص با سهم سازمان 100 درصد ,INJ,100 mg/5 ml,,"       8,610,000
      12,300,000","100%
70%", , ,12300000,12300000,"100%
70%","مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,نياز به کد اصالت دارو",,,,99,
1391,ANTI LYMPHOCYTE   IMMUNOGLOBULIN, پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص <br>يا  داروهاي تخصصي بيماران خاص در صندوق پيوند کليه   تجويز توسط پزشك متخصص با سهم سازمان 100 درصد ,INJ,50 mg/ml,,"          21,700
          31,000","100%
70%", , ,31000,31000,"100%
70%","مددجويان کميته امداد
,بهزيستي",,,,,
1392,ANTI SCORPION  VENOM  SERUM,,INJ,5 ml,312816,1541736,74.537, , ,1755600,2068416,70%,"داروهاي بيمه اي مشمول ارز
,مددجويان کميته امداد
,بهزيستي",,,67072,,
1393,ANTI SNAKE  VENOM  SERUM,,INJ,10 ml,,0,70%, , , , ,70%,"مددجويان کميته امداد
,بهزيستي",,,,,
100,ANTI THYMOCYTE  IMMUNOGLOBULIN, داروهاي تخصصي بيماران خاص و پرونده اي بيمه سلامت در صندوق پيوند کليه   تجويز توسط پزشك متخصص جراحي عمومي و  نفرولوژي و بيماريهاي ريه و بيماريهاي قلب و عروق و بيماريهاي گوارشي با سهم سازمان 100 درصد  <br>يا  پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص جراحي عمومي و  نفرولوژي و بيماريهاي ريه و بيماريهاي خون وانكولوژي و بيماريهاي قلب و عروق و بيماريهاي گوارشي با سهم سازمان 90 درصد ,AMP,250 mg/5 ml,59248000,"      70,762,600
      72,042,000","100
98.224",10%, ,12794000,72042000,"100%
90%","مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67075,100,
2371,ANTI THYMOCYTE  IMMUNOGLOBULIN, داروهاي تخصصي بيماران خاص و پرونده اي بيمه سلامت در صندوق پيوند کليه   تجويز توسط پزشك متخصص جراحي عمومي و  نفرولوژي و بيماريهاي ريه و بيماريهاي قلب و عروق و بيماريهاي گوارشي با سهم سازمان 100 درصد  <br>يا  پرونده اي بيمه سلامت   تجويز توسط پزشك متخصص جراحي عمومي و  نفرولوژي و بيماريهاي ريه و بيماريهاي خون وانكولوژي و بيماريهاي قلب و عروق و بيماريهاي گوارشي با سهم سازمان 90 درصد ,AMP,25 mg/ml,43941000,"      58,190,700
      59,774,000","100
97.351",10%, ,15833000,59774000,"100%
90%","مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,,2371,
9563,ANTIHEMOPHILIC FACTOR (FACTOR VIII) VONWILLEBRAND, پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك متخصص بيماريهاي كودكان و بيماريهاي داخلي (((هشدار))):شرط تجويز براي پزشكان متخصص كودكان و بيماريهاي داخلي ،شاغل در بخشهاي هموفيلي  ميباشد<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشكان عمومي عمومي (((هشدار))):شرط تجويز براي پزشكان عمومي ،شاغل در بخشهاي هموفيلي  ميباشد با سهم سازمان 100 درصد ,VIAL,500IU/1200IU,,20800000,100%, , ,20800000,20800000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67387,9563,
12423,ANTIHEMOPHILIC FACTOR (FACTOR VIII) VONWILLEBRAND, پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشكان عمومي عمومي (((هشدار))):شرط تجويز براي پزشكان عمومي ،شاغل در بخشهاي هموفيلي  ميباشد<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك متخصص بيماريهاي كودكان و بيماريهاي داخلي (((هشدار))):شرط تجويز براي پزشكان متخصص كودكان و بيماريهاي داخلي ،شاغل در بخشهاي هموفيلي  ميباشد با سهم سازمان 100 درصد ,VIAL,250 U,,200000,100%, , ,200000,200000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,نياز به کد اصالت دارو",,,67386,12423,
15891,ANTIHEMOPHILIC FACTOR IX, پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشكان عمومي عمومي (((هشدار))):شرط تجويز براي پزشكان عمومي ،شاغل در بخشهاي هموفيلي  ميباشد<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك متخصص بيماريهاي كودكان و بيماريهاي داخلي با سهم سازمان 100 درصد ,VIAL,600IU,,5527200,100%, , ,5527200,5527200,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67377,15891,
12544,ANTIHEMOPHILIC FACTOR VIII, پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشكان عمومي عمومي (((هشدار))):شرط تجويز براي پزشكان عمومي ،شاغل در بخشهاي هموفيلي  ميباشد<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك متخصص بيماريهاي كودكان و بيماريهاي داخلي با سهم سازمان 100 درصد ,VIAL,500U,23913000,31265000,100, , ,7352000,31265000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67230,12544,
13238,ANTIHEMOPHILIC FACTOR VIII, پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشكان عمومي عمومي (((هشدار))):شرط تجويز براي پزشكان عمومي ،شاغل در بخشهاي هموفيلي  ميباشد<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك متخصص بيماريهاي كودكان و بيماريهاي داخلي با سهم سازمان 100 درصد ,INJ,250U,11469000,14839000,100, , ,3370000,14839000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,نياز به کد اصالت دارو",,,67229,13238,
22419,ANTIHEMOPHILIC FACTOR VIII VONWILLEBRAND, پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشكان عمومي عمومي (((هشدار))):شرط تجويز براي پزشكان عمومي ،شاغل در بخشهاي هموفيلي  ميباشد<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك متخصص بيماريهاي كودكان و بيماريهاي داخلي<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي با سهم سازمان 100 درصد ,VIAL,1000/1000IU,,8000000,100%, , ,8000000,8000000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67384,22419,
25929,ANTIHEMOPHILIC FACTOR VIII VONWILLEBRAND, پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشكان عمومي عمومي (((هشدار))):شرط تجويز براي پزشكان عمومي ،شاغل در بخشهاي هموفيلي  ميباشد<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك متخصص بيماريهاي كودكان و بيماريهاي داخلي<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي با سهم سازمان 100 درصد ,VIAL,500/500IU,38917000,46057000,100, , ,7140000,46057000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67388,51012,
14457,ANTIHEMOPHILIC FACTOR VIIa, پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك فوق تخصص بيماريهاي خون وانكولوژي<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشكان عمومي عمومي (((هشدار))):شرط تجويز براي پزشكان عمومي ،شاغل در بخشهاي هموفيلي  ميباشد<br> يا  پرونده اي و داروهاي تخصصي بيماران خاص در صندوق هموفيلي   تجويز توسط پزشك متخصص بيماريهاي كودكان و بيماريهاي داخلي با سهم سازمان 100 درصد ,INJ,2 mg,,29700000,100%, , ,29700000,29700000,100%,"مددجويان کميته امداد
,بهزيستي
,الزام کنترل کد ژنريک
,داروهاي تخصصي بيماران خاص
,فهرست يارانه اي وزارت بهداشت
,نياز به کد اصالت دارو",,,67380,14457,
